date,round,meal_id,item_name,quantity,measure,esha_code,gov_code,cals_kcal,prot_g,carb_g,tot_fib_g,tot_sol_fib_g,tot_insol_fib_g,sugar_g,sug_add_g,fat_g,mono_fat_g,poly_fat_g,trans_fat_g,sat_fat_g,vit_a_iu_iu,calc_mg,omega3_g,omega6_g,iron_mg,iodine_mcg,copp_mg,magn_mg,pot_mg,sel_mcg,sod_mg,zinc_mg,vit_c_mg,vit_b12_mcg,vit_b6_mg,vit_b3_ne_mg,vit_b3_mg,vit_b2_mg,vit_b1_mg,vit_d_iu_iu,gly_indx,gly_load,wgt_g,fat_cals_kcal,sat_cals_kcal,tfa_cals_kcal,carb_avail_g,starch_g,fib_16_g,sol_fib_16_g,insol_fib_16_g,non_digest_carb_g,sol_non_digest_carb_g,insol_non_digest_carb_g,mon_sac_g,galac_g,gluc_g,fruct_g,disacc_g,lact_g_70,sucr_g,malt_g,o_carb_g,net_carb_g,sala_g,chol_mg,water_g,ash_g,k_j_k_j,vit_a_rae_mcg,vit_a_re_mcg,caroten_mcg,retinol_mcg,alpha_caro_mcg,beta_caro_mcg,beta_caro_eq_mcg,biot_mcg,vit_d_mcg_mcg,vit_e_a_toco_mg,vit_e_a_te_mg,vit_e_iu_iu,vit_e_mg_mg,folate_mcg,fol_acid_mcg,fol_dfe_mcg_dfe,fol_food_mcg,crypto_mcg,vit_k_mcg,panto_mg,boron_mcg,chlor_mg,chrom_mcg,fluor_mg,mang_mg,moly_mcg,phos_mg,salt_g,x4_0_g,x6_0_g,x8_0_g,x10_0_g,x12_0_g,x14_0_g,x15_0_g,x16_0_g,x17_0_g,x18_0_g,x20_0_g,x22_0_g,x24_0_g,x14_1_g,x15_1_g,x16_1_g,x17_1_g,x18_1_g,x20_1_g,x22_1_g,x24_1_g,x18_2_g,x18_3_g,x18_4_g,x20_3_g,x20_4_g,x20_5_g,x22_5_g,x22_6_g,ala_g,arg_g,asp_g,cys_g,glu_g,gly_g,his_g,iso_g,leu_g,lys_g,met_g,phe_g,pro_g,ser_g,thr_g,trp_g,tyr_g,val_g,alc_g,caff_mg,art_sw_mg,aspar_mg,sacch_mg,sug_al_g,eryth_g,glyc_g,inos_g,lacti_g,malti_g,mann_g,sorb_g,xylit_g,org_ac_g,acet_g,citr_g,lact_g_172,malic_g,chln_mg,tau_g,lut_zea_mcg,lycopene_mcg,sulfites_ppm_ppm,sulfites_mg_mg,mp_grain_oz_eq,mp_veg_c,mp_fruit_c,mp_dairy_c,mp_prot_oz_eq,xx_alc,xx_lean_meat,xx_veg,xx_starch,xx_o_carb,xx_non_fat_milk,xx_fruit,xx_fat,file,fdc_id,lact_g_69,lact_g_171,lact_g_68,lact_g_170,comments,lact_g_71,lact_g_173,notes_on_portion_size,lact_g_72,lact_g_174,size,portion,portion_size_notes,lact_g_73,lact_g_175,day,first_day,last_day,day_of_round,weekend,time_shift
12/11/20,1,1,"omelet, western, prepared with added fat",2-Jan,Cup,124464,32130890,193.91,13.01,1.38,0.23,NA,NA,0.75,0,14.97,5.71,3.54,NA,4.67,NA,51.03,0.3,3.18,1.68,NA,0.11,13.61,197.32,30.28,336.8,1.38,0.79,0.69,0.22,1.11,1.11,0.45,0.07,72.58,NA,NA,113.4,134.72,42.07,NA,1.16,NA,0.23,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.41,1.16,NA,328.86,82.37,1.67,811.34,161.03,NA,NA,159.89,0,11.34,NA,NA,1.81,1.56,NA,NA,NA,32.89,0,32.89,32.89,7.94,5.22,NA,NA,NA,NA,NA,NA,NA,204.12,NA,0.06,0.04,0.02,0.05,0.05,0.18,NA,3,NA,1.19,NA,NA,NA,NA,NA,0.23,NA,5.4,0.05,0,NA,3.01,0.24,0,NA,0.17,0,0.01,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.81,NA,433.19,0,NA,NA,0,0.22,0,0,1.98,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/20,12/11/20,12/24/20,1,FALSE,FALSE
12/11/20,1,1,tortilla,0.9,Ounce-weight,157895,52215000,66.85,1.77,11.99,1.25,NA,NA,0.59,0.19,1.38,0.31,0.47,NA,0.43,NA,29.09,0.03,0.44,0.62,NA,0.03,11.99,39.8,3.62,99.51,0.23,0,0,0.04,0.75,0.75,0.04,0.08,0,NA,NA,25.51,12.45,3.88,NA,10.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.16,10.74,NA,0,9.94,0.43,279.69,0,NA,NA,0,0,0,NA,NA,0,0.04,NA,NA,NA,12.76,10.21,19.9,2.55,0,0.92,NA,NA,NA,NA,NA,NA,NA,66.34,NA,0,0,0,0,0,0,NA,0.27,NA,0.15,NA,NA,NA,0,0,0,0,0.31,0,0,0,0.44,0.03,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,1.53,0,NA,NA,1.08,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/20,12/11/20,12/24/20,1,FALSE,FALSE
12/11/20,1,1,"iced tea, diet, Snapple",16,Fluid ounce,129990,92309020,4.8,0,1.06,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0.02,0,67.2,0,81.6,0,0,0,0,0,0,0,0,0,NA,NA,480,0,0,0,1.06,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,NA,0,478.66,0.29,20.08,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,158.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/20,12/11/20,12/24/20,1,FALSE,FALSE
12/11/20,1,2,"chewing gum, sugar free",1,Stick,120338,91802000,4.82,0,1.71,0.04,NA,NA,0,0,0.01,0,0,NA,0,NA,0.36,0,0,0,NA,0,0,0,0.01,0.13,0,0,0,0,0,0,0,0,0,NA,NA,1.8,0.06,0.01,NA,1.66,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1.66,1.66,NA,0,0.06,0.02,20.18,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/20,12/11/20,12/24/20,1,FALSE,FALSE
12/11/20,1,3,"omelet, western, prepared with added fat",2-Jan,Cup,124464,32130890,193.91,13.01,1.38,0.23,NA,NA,0.75,0,14.97,5.71,3.54,NA,4.67,NA,51.03,0.3,3.18,1.68,NA,0.11,13.61,197.32,30.28,336.8,1.38,0.79,0.69,0.22,1.11,1.11,0.45,0.07,72.58,NA,NA,113.4,134.72,42.07,NA,1.16,NA,0.23,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.41,1.16,NA,328.86,82.37,1.67,811.34,161.03,NA,NA,159.89,0,11.34,NA,NA,1.81,1.56,NA,NA,NA,32.89,0,32.89,32.89,7.94,5.22,NA,NA,NA,NA,NA,NA,NA,204.12,NA,0.06,0.04,0.02,0.05,0.05,0.18,NA,3,NA,1.19,NA,NA,NA,NA,NA,0.23,NA,5.4,0.05,0,NA,3.01,0.24,0,NA,0.17,0,0.01,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.81,NA,433.19,0,NA,NA,0,0.22,0,0,1.98,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/20,12/11/20,12/24/20,1,FALSE,FALSE
12/11/20,1,3,tortilla,0.9,Ounce-weight,157895,52215000,66.85,1.77,11.99,1.25,NA,NA,0.59,0.19,1.38,0.31,0.47,NA,0.43,NA,29.09,0.03,0.44,0.62,NA,0.03,11.99,39.8,3.62,99.51,0.23,0,0,0.04,0.75,0.75,0.04,0.08,0,NA,NA,25.51,12.45,3.88,NA,10.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.16,10.74,NA,0,9.94,0.43,279.69,0,NA,NA,0,0,0,NA,NA,0,0.04,NA,NA,NA,12.76,10.21,19.9,2.55,0,0.92,NA,NA,NA,NA,NA,NA,NA,66.34,NA,0,0,0,0,0,0,NA,0.27,NA,0.15,NA,NA,NA,0,0,0,0,0.31,0,0,0,0.44,0.03,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,1.53,0,NA,NA,1.08,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/20,12/11/20,12/24/20,1,FALSE,FALSE
12/11/20,1,4,"chicken, rotisserie, with skin",4,Ounce-weight,156692,24102060,222.26,28.43,0.11,0,0,0,0.11,0,12.08,5.05,1.57,NA,3.09,NA,19.28,0.08,1.48,0.84,NA,0.07,26.08,306.17,25.97,388.96,1.67,0,0.44,0.28,8.58,8.58,0.21,0.08,0,NA,NA,113.4,108.69,27.84,NA,0.11,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.11,NA,128.14,71.78,1,929.94,17.01,NA,NA,17.01,0,0,NA,NA,0,0.45,NA,NA,NA,11.34,0,9.07,9.07,0,0,NA,NA,NA,NA,NA,NA,NA,267.62,NA,0,0,0,0,0,0.06,NA,2.48,NA,0.54,NA,NA,NA,NA,NA,0.82,NA,4.18,0.03,0,NA,1.46,0.08,0,NA,0.03,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,70.42,NA,0,0,NA,NA,0,0,0,0,3.9,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/20,12/11/20,12/24/20,1,FALSE,FALSE
12/11/20,1,4,"macaroni & cheese, prepared from recipe",8,Ounce-weight,117959,58145110,503.49,19.69,52.34,2.72,NA,NA,5.51,0.95,23.61,5.71,2.51,NA,12,NA,387.82,0.24,2.27,2.38,NA,0.17,45.36,233.6,45.36,821,2.45,0,0.61,0.25,2.9,2.9,0.47,0.43,45.36,NA,NA,226.8,212.49,107.96,NA,49.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.11,49.62,NA,56.7,127.37,3.79,2106.59,238.14,NA,NA,233.6,0,40.82,NA,NA,1.13,1.32,NA,NA,NA,79.38,63.5,123.83,15.88,0,6.8,NA,NA,NA,NA,NA,NA,NA,335.66,NA,0.48,0.35,0.22,0.51,0.57,1.74,NA,5.52,NA,2.33,NA,NA,NA,0,0,0.26,0,5.41,0.04,0,0,2.25,0.23,0,0,0.02,0,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.67,NA,6.8,0,NA,NA,2.47,0,0,1.16,0,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/20,12/11/20,12/24/20,1,FALSE,FALSE
12/12/20,1,5,"empanada, cheese & vegetable, Mexican",1,Each,117816,58116115,710.4,19.11,76.97,3.55,NA,NA,12.28,0,36.7,13.47,7.77,NA,12.55,NA,357.42,0.64,7.13,4.82,NA,0.24,39.96,366.3,37.74,1112.22,1.98,11.32,0.53,0.21,4.45,4.45,0.57,0.51,26.64,NA,NA,222,330.27,112.99,NA,73.42,NA,3.55,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,61.14,73.42,NA,106.56,84.03,5.19,2972.31,95.46,NA,NA,91.02,4.44,59.94,NA,NA,0.67,2.13,NA,NA,NA,106.56,73.26,157.84,33.3,2.22,17.54,NA,NA,NA,NA,NA,NA,NA,324.12,NA,0.28,0.14,0.1,0.22,0.21,1.11,NA,6.28,NA,3.73,NA,NA,NA,0,0,0.34,0,13.08,0.04,0,0,7.1,0.62,0,0,0.04,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.26,NA,173.16,0,NA,NA,4.6,0.36,0.2,0.78,0.4,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/12/20,12/11/20,12/24/20,2,TRUE,FALSE
12/12/20,1,6,"bread, whole wheat",2,Slice,116590,51300110,182.88,8.86,31.03,4.32,NA,NA,3.18,3.18,2.56,0.44,1.16,NA,0.53,NA,117.36,0.1,1.05,1.84,NA,0.16,55.44,180,18.58,324,1.27,0,0,0.16,3.19,3.19,0.12,0.28,0,NA,NA,72,23,4.74,NA,26.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.54,26.71,NA,0,27.86,1.69,765.17,0,NA,NA,0,0,1.44,NA,NA,0,0.39,NA,NA,NA,30.24,0,30.24,30.24,0,5.62,NA,NA,NA,NA,NA,NA,NA,152.64,NA,0,0,0,0.01,0.01,0.01,NA,0.32,NA,0.17,NA,NA,NA,0,0,0.01,0,0.42,0.01,0,0,1.05,0.1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.58,NA,62.64,0,NA,NA,2.61,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,./../../../clean_data/esha_food_lists/esha_food_list_1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/12/20,12/11/20,12/24/20,2,TRUE,FALSE
